a	0.0804060515073123
b	0.0148464876982367
c	0.0334377368881086
d	0.0381695827832247
e	0.1249206253419707
f	0.0240312338377596
g	0.0186937584461424
h	0.0505330140663226
i	0.0756927754022081
j	0.0015877372404490
k	0.0054051348963389
l	0.0406898604777074
m	0.0251176059941052
n	0.0723362922177421
o	0.0764069293872640
p	0.0213589101841060
q	0.0012046892068255
r	0.0627942070608600
s	0.0651276656262301
t	0.0927556484289489
u	0.0272970184340511
v	0.0105325161793230
w	0.0167566419091172
x	0.0023485688745312
y	0.0166498009744484
z	0.0008995069366664
